Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BGD,513,Bangladesh,Inflation,Food Consumer Price Inflation,2.3,10.1,34,47.4,68.6,20.8,-10.9,9.3,11.5,14.7,15.7,11.5,13.1,9.3,12.8,9.7,13.5,10.4,6.5,8.8,5.9,6.1,3.6,-2.2,3.8,9,3.4,6.6,10.5,8.1,2,1.2,2,5.8,7.5,8,7.6,10.5,11,5.5,10.1,12.38,3.38,7.93,7.91,6.05,4.51,7.17,6.21,5.56,5.77,5.3,7.66
BGR,918,Bulgaria,Inflation,Food Consumer Price Inflation,-0.3,0.2,0,0.9,1.1,0.6,0.5,0.2,1.2,6.2,24.7,0.2,0.7,3,1.5,2.2,4.3,0,1.4,1.9,1.9,374.6,74.8,56.2,91.6,59.8,122.69,1097.01,11.14,-8.04,10.25,6.51,-0.03,-0.97,6.7,4.03,5.43,13.45,16.71,-0.63,-0.38,6.93,3,2.79,-0.98,0.33,-0.23,3.99,2.2,5.19,5.37,2.77,21.28
BHR,419,Bahrain,Inflation,Food Consumer Price Inflation,,,,,,,13.1,13.6,10.5,2.2,5.9,4.1,-1.7,-2.8,4.1,,-0.4,-4.3,-1,0.8,0.1,2.1,0.1,-0.3,-1,6.2,0.5,,1.1,-1,-1.3,-1.4,-1,-1.5,2.2,3,2,4.5,10.9,9,4.86,2,3.98,2.41,2.87,2.42,1.29,1.01,2.12,2.38,3.55,-0.08,10.04
BHS,313,"Bahamas, The",Inflation,Food Consumer Price Inflation,4.7,4.8,5.4,5.4,18.7,11.6,2.9,2,8.1,10.9,15.2,14.9,6.7,1.3,1.6,5.5,12.8,4.8,6.4,5.4,7.7,8.6,2.1,0.8,-0.6,2.1,2.6,1.6,2.2,0.2,1.7,2.1,2,0.5,2,3.3,4.6,3.9,7.1,5,-1.2,1.9,,1.11,2.31,5.75,-0.93,-0.12,2.42,0.17,1.03,2.08,12.52
BIH,963,Bosnia and Herzegovina,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,8.26,2.88,11.63,0.02,-0.06,5.99,1.77,0.04,-2.7,-0.9,-1.05,0.98,0.42,1.09,1.02,3.54,20.78
BLR,913,Belarus,Inflation,Food Consumer Price Inflation,0.2,0,0.1,0.1,0.3,0.1,0.2,-0.1,1.3,0.5,0.5,1.4,4,1.6,0,1.8,6.2,4.5,0,0.4,2.9,88.5,1053.4,1415.1,2373.5,661.8,49.6,69.9,75.8,312.7,164.9,56.8,38.9,22.8,19.6,11.9,6.1,9.8,17.7,14,9.06,62.22,67.97,18.8,18.66,12.21,10.59,7.02,4.06,6.36,4.27,9.62,17.22
BLZ,339,Belize,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,8,5.5,4.4,2.9,0.5,0.3,1.7,3.3,4.2,2.2,6.1,3,1.6,1.1,2.7,6.4,1.8,-1,-1.7,0.6,-1.07,0.52,3.15,1.66,3.52,3.37,5.75,13.91,1.18,-4.03,0.42,2.38,1.47,0.79,-0.38,0.07,-1.12,-0.53,0.64,1.12,4.8,6.2
BOL,218,Bolivia,Inflation,Food Consumer Price Inflation,4.5,4,6.4,35,81.7,5.3,2.4,8.2,10,18.6,47.6,35.2,123.9,303.7,1315.6,11275.6,276.7,10.3,11.4,14.4,18.7,21.7,13.4,6.7,9,12,14.3,3.4,5.4,-1.6,2.1,0.6,-0.9,3.5,6,5.8,5.85,14.58,25.61,1.28,2.95,13.94,3.92,8.85,8.12,4.61,5.51,3.35,2.54,3.36,-0.65,0.61,1.64
BRA,223,Brazil,Inflation,Food Consumer Price Inflation,26,24.9,21.5,18.2,30.5,30.8,39.6,40.5,,,100.2,49.82,90.9,158.58,204.17,221.06,131.65,196.78,653.06,1345.14,2618.24,450.01,1090.56,1949.8,2280.13,58.49,5.92,0.72,2.81,3.42,5.14,6.7,9.66,20.36,4.01,3.08,0.02,6.78,13.05,5.8,6.1,8.85,8.13,11.16,7.52,9.8,12.49,0.89,0.87,4.86,9.07,12.72,11.79
BRB,316,Barbados,Inflation,Food Consumer Price Inflation,6.5,8.2,16.7,17.8,44.3,22.4,4.2,8.5,10.1,11.1,,14.9,7.3,2.7,4,5.2,2.4,4.6,6.5,9.1,4,4.8,0.3,-0.1,0.3,3.9,3.9,13.5,-4.3,2.5,2.5,5.2,1.8,2.8,4.5,7,7.9,7.1,13.5,6.7,3.7,,,,0.46,2.81,8.23,6.21,3.66,5.97,11.76,,
BRN,516,Brunei Darussalam,Inflation,Food Consumer Price Inflation,1,0,-1.7,12.4,20,3.5,7.5,13.6,5.8,4.9,8.3,12.3,9.1,0.9,3.1,1,0.6,1,1.7,0.6,0.2,2.5,0.8,2.6,1.3,2.5,3,3.7,0.3,-0.2,0,0.5,0.3,-0.8,1.6,0.5,0.3,2.2,5,1,1,0.01,0.01,0.09,-0.23,0.82,-0.94,0.48,1.69,-0.03,2.06,2.38,4.97
BTN,514,Bhutan,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,5.6,6.4,10.7,8.4,8.2,13.3,18,8.8,2.8,10.1,9.3,3.7,11.4,5.8,1,1.5,2,0.9,,5.7,5,8.1,11.9,9,8.8,,,6.88,10.08,3.27,14.11,-2.04,4.96,3.64,11.35,8.86,4.75
BWA,616,Botswana,Inflation,Food Consumer Price Inflation,4.9,-0.6,6.1,15.4,17.3,10.4,5.4,14.6,11.4,10.9,18.2,22.3,13.2,12.9,8.6,9.6,10.15,10.7,8.5,9.2,11.8,11.8,18.8,13.6,9.4,10.8,13.3,10.3,6.2,6.8,4.7,2.6,9.3,11.4,4.6,5.4,12.49,11.39,20.19,14.28,3.68,6.88,7.92,5.4,3.01,1.34,2.66,3.43,-0.5,1.39,3.73,7.14,9.04
CAF,626,Central African Republic,Inflation,Food Consumer Price Inflation,1.5,8.1,9.6,5.8,11,15.5,7.1,15,8.2,9.3,16.4,9,7.5,23.5,0.1,10.6,0,-9.9,-4.1,1,0.7,-4.1,-1.1,-4.2,24.5,23,5.8,0.6,-2.7,-3.1,3.9,4.7,2,5.2,-4.6,3.5,7.2,1.9,11.4,3.63,1.4,1.07,7.11,9,14.77,4.67,4.42,,,,,5.36,
CAN,156,Canada,Inflation,Food Consumer Price Inflation,1.61,0.51,7.7,15.01,15.8,12.54,1.58,8.82,17.43,13.48,11.14,11.94,6.38,2.92,6.07,2.45,5.04,4.54,1.99,3.12,3.9,2.3,-1.43,1.82,0.1,2.67,1.15,1.54,1.57,1.05,1.07,4.85,2.53,1.44,1.77,2.29,2.27,2.63,3.93,5.48,0.95,4.24,2.35,1.09,2.51,4.1,1.02,-1.01,0.81,3.68,2.4,2.2,9.63
