Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BHS,313,"Bahamas, The",Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,0.01,-1.3,-1.13,3.66,2.43,0.88,-0.72,2.95,2.85
BIH,963,Bosnia and Herzegovina,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,13.03,2.39,8.28,4.84,2.48,3.12,2.9,0.8,-0.31,1.14,0.28,1.71,2.74,2.34,-0.43,1.28,13.23
BLR,913,Belarus,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,643.5,1783.3,2323.2,1669.8,39,67.8,42,60.6,422.7,169.2,132.2,119.9,18.1,1.4,10,10.5,41.3,,,,,,23.01,-1.6,4.55,8.51,12.45,10.16,7.99,10.24,13.2
BLZ,339,Belize,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,0.55,-4.9,1,-1.4,1.3,1.7,0.6,-0.5,1,3.6,2.08,-1.07,3.68,5.19,4.16,4.87,1.36,3.59,-3.87,3.02,3.02,3.02,0.38,1.59,-0.11,0.56,0.76,0.81,0.19,0.58,1.76,2.87
BOL,218,Bolivia,Inflation,Energy Consumer Price Inflation,0,0,1.9,7.9,14.9,31.8,7.4,10,0,3.5,73.9,91.9,86.9,230.3,1312.6,21271.6,317.7,18.8,33.4,29.3,18.3,35.5,6.4,12.6,9.4,7.9,16,6.9,8.5,9.3,13.8,4.4,4.4,4.9,4,3.6,2.57,3.8,5.38,2.5,2.58,5.45,5.01,4.39,5.82,5.01,3.66,4.8,2.59,0.48,-0.21,0.23,0.7
BRA,223,Brazil,Inflation,Energy Consumer Price Inflation,26,25.8,27.4,13.5,32.6,31.8,31.4,35.6,,,,,,,,,,,,,,,,,,,,,,3.17,2.37,7.68,12.04,13.42,8.62,6.54,4.63,2.09,3.3,5.88,4.85,6.29,6.75,3.36,7.79,16.76,7.22,4.23,5.83,4.78,2.34,9.58,7.98
BRB,316,Barbados,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,6.9,2.6,7.7,2.5,-1.1,-6,0.5,-1.8,3.8,4.2,0.2,2.7,3.1,-2.2,,-0.3,8.9,-2.7,-2.7,,,,3.8,-4.8,7.5,15.4,-3.1,8,-6,25.4,,,,1.26,-8.66,-5.98,3.44,6.01,1.78,-1.88,5.61,
BRN,516,Brunei Darussalam,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0.68,2.14,-4.13,-0.35,-0.52,-2.99,-0.3,-0.23,1.91
BTN,514,Bhutan,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,19.4,5.6,9.4,6.3,31.9,0.5,0,2.5,1.5,4.2,4.7,8.3,11,8,23.7,8.1,,,,,,,,,,,,6.81,9.34,6.45,4.45,4.96,1.41,2.53,2.31,6.26,5.56
BWA,616,Botswana,Inflation,Energy Consumer Price Inflation,,,,,16.6,21,,12.5,7.2,17.1,10.7,11.3,,,,,,,,,,,,7,6.2,2.8,2.3,7.9,-0.1,6.1,22.1,8.5,6.1,2.6,6.1,17.5,4.89,4.72,13.5,-1.5,12.7,8.47,7.67,4.32,3.9,7.08,8.42,9.52,4.05,2.05,5.12,6.41,8.3
CAF,626,Central African Republic,Inflation,Energy Consumer Price Inflation,4,7.7,5.3,0,7.1,22.5,5.6,3.4,4.3,7.2,5.3,13.4,-8.7,26.1,2.9,27.3,25.9,-9.5,-10.7,0.3,-6.8,-1.5,-3.4,-0.4,8.5,2.7,1.2,5.1,7.6,-0.9,6.1,2.2,1.9,-0.8,-4.4,-2,8.2,0,6.3,,,,,,-0.41,-6.95,-2.97,,,,,3.11,0
CAN,156,Canada,Inflation,Energy Consumer Price Inflation,3.42,5.8,3.8,9.9,13.5,13.2,18.2,15,12.4,9.2,12.8,24.3,18.1,9.5,5.4,5.4,-2.2,0.4,2.6,1.4,5.3,11.7,4.7,4,2.3,-1,1.7,2.9,0.4,2.7,10.3,8.9,-2.6,9,3.2,6.5,5.1,2.3,7,-7.1,6.64,12.25,1.69,1.5,3.53,-9.57,1.43,1.56,6.7,-2.2,1.49,18.85,24.19
CHE,146,Switzerland,Inflation,Energy Consumer Price Inflation,10.6,9.3,-1.6,16.9,21.6,0.5,3.2,-0.2,-5.7,35.3,6.4,9.6,1.3,-3.7,2.83,3.49,-1.93,1.42,1.68,4.6,8.38,8.9,5.68,4.65,0.25,1.69,1.85,0.78,-0.74,0.99,3.61,2.25,0.09,0.43,1.62,2.97,2.75,2.13,4.87,-1.15,2.44,2.4,0.83,0.12,1.04,-0.64,-0.06,1.21,1.35,-0.62,-0.2,8.58,22.99
CHL,228,Chile,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,7.61,5.76,2.76,5.29,3.21,3.72,4.68,7.12,14.44,0.79,1.21,6.84,0.32,2.61,6.28,5.16,5.47,3.62,4.29,2.23,2.86,9.01,20.88
