Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
GRD,328,Grenada,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,9.3,0.1,-2.4,2.1,2.7,-8.3,-3.8,4.8,3.3,8.9,-4,-3.4,0.1,,,,,-6.5,11,6.9,6.1,-1.8,3.9,3.8,9.49,6.84,3.97,8.49,-8.18,7.19,1.98,0.48,0.25,-0.02,-2.83,-1.22,0.64,1.45,0.05,-1.28,1.23,
GTM,258,Guatemala,Inflation,Energy Consumer Price Inflation,-1.3,1.4,1.6,10.8,53.8,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,3.6,5.6,8.3,6.6,6.8,4.4,10.6,-2.23,6.59,5.32,0.3,4.23,1.94,-6.28,2.44,2.14,2.38,1.4,-0.06,4.82,4.72
HND,268,Honduras,Inflation,Energy Consumer Price Inflation,1.7,1.2,2.6,3.5,24.6,12.1,2.8,8.3,3.4,18,27.6,,,,,,,0,0,0,63.9,21.8,-0.9,11.6,17.5,37,37.4,28.2,-2.1,-9.1,8.66,8.66,14.86,12.91,9.88,8.09,6.55,5.9,9.23,6.86,8.99,8.35,5.19,5.28,4.92,2.23,2.1,5.53,4.37,6.55,0.41,3.3,4.81
HRV,960,Croatia,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,44.2,26.5,33.5,53.3,87,86,137.5,173.7,1173.1,475.5,110.8,551.3,1812,98.2,-1.7,3.1,5.2,2.4,2.7,16.5,10.1,2.2,3,5,7,4.2,0.8,8,-2.8,9.9,7,10.8,1.8,0.7,-5.9,-5.7,-0.1,5.6,0.9,-6.5,8.8,19.6
HTI,263,Haiti,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,15.1,16.1,1.9,8.2,7.9,10.3,-0.5,0.7,11.4,,,,,,,,,,,,,,,,,,,,,,,7.28,5.91,5.6,8.54,13.84,20.22,12.46,15.9,18.54,14.4,30.36
HUN,944,Hungary,Inflation,Energy Consumer Price Inflation,-1.8,-0.8,-2.1,-2,5.6,7.7,-0.9,-0.7,0.3,8.7,21.5,-0.2,10,4.9,4.9,20.9,3.5,6.5,12.8,11.4,27.6,81,43.2,20.3,11.7,50,32.5,29.9,17.9,9.4,9.1,10.3,5.5,7.3,14.1,6.2,6.4,24.6,9.37,7.64,5.51,4.61,5.78,-5.36,-8.41,-1.19,0.55,1.12,1.83,0.54,1.47,11.24,12.92
IDN,536,Indonesia,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,13.7,10.1,33.2,42.9,33.7,10.5,3.1,1.5,1.9,5.4,4.9,4.9,8.3,16,4.8,5.7,3.4,5.44,34.65,16.02,6.39,11.98,14.55,11.74,7.78,9.09,10.63,4.95,8.57,5.03,2.96,4.18,3.36,4.89,5.91,6.31,1.79,4.99,2.65,2.28,0.95,0.37,2.5
IND,534,India,Inflation,Energy Consumer Price Inflation,4.4,6.6,7.9,10.4,34,10.2,4.2,3.1,6.8,17.8,11.6,13.6,15.3,9.5,12.7,10.6,7,4.9,8.1,3.2,6.5,11.7,7.5,6.5,4.8,5.4,12.6,11.9,8.8,6.3,17.6,9.2,10.3,6.5,8.1,-1.8,3.1,4.64,4.52,13.7,26.6,4.49,9.19,8.08,6.14,4.79,5.25,5.69,7.56,4.79,3.51,,
IRL,178,Ireland,Inflation,Energy Consumer Price Inflation,9,11.7,10,7.2,50.9,16.4,17.4,13.83,-3.59,12.14,32.12,22.62,14.94,5.59,7.84,9.42,0.18,4.35,-1.18,5.66,9.59,4.13,4.57,-2.57,-3,3.33,0.72,1.9,0.74,-6.67,9.55,10.54,1.11,-0.67,4.26,10.42,16.03,20.34,9.67,-21.94,1.29,9.74,0.6,0.67,-0.03,1.6,-0.48,2.03,5.1,1.09,-1.03,12.29,41.7
IRN,429,"Iran, Islamic Rep.",Inflation,Energy Consumer Price Inflation,-0.6,-0.6,2.4,2.6,5.2,4.3,1.8,8.3,4,6.2,4,14.5,11.8,10,3.9,3.8,18.1,24,5.2,-2.5,2.7,23.81,41,19,13.2,29.8,41.3,39.2,40.8,46,28.7,12.3,15.5,15.4,11.2,6,13.25,21.19,28.17,17.02,5.84,16.72,13.58,19.27,18.53,16.01,7.89,6.42,12.9,24.12,23.88,26.86,29.53
IRQ,433,Iraq,Inflation,Energy Consumer Price Inflation,1.5,-8.7,1,-2,-5.6,0.7,11.7,4.4,-5,,,,29.9,17.4,0,0,4.2,6.4,0,1.1,7.7,35.6,8,56.7,436.2,503.7,20.2,39.6,24.7,56.1,-10.3,-1.6,-0.6,-47.2,557.5,99.1,186,71.6,-21.4,-37.3,,,,,2.02,3.31,2.69,2.32,-1.14,-1.32,-0.04,1.88,4.78
ISL,176,Iceland,Inflation,Energy Consumer Price Inflation,18.3,6.6,0.5,19.1,53.6,59.4,23.5,21.3,36,57.6,40.4,49.3,76.1,126,41,17,4.5,12.3,24.5,15.1,14.7,8.6,4.1,8.3,2.1,-1.1,1.3,2,0,0.1,3,2.4,2.4,8.41,7.54,14.98,11.96,11.55,12.87,0.57,-0.5,6.16,5.16,3.9,5.83,6.01,6.64,11.92,6.48,2.76,2.4,7.38,17.53
ISR,436,Israel,Inflation,Energy Consumer Price Inflation,0,9.8,12.1,10.4,81.5,64.4,34,32.2,52.4,73.9,198.7,106.1,123.5,84.21,391.43,295.35,33.09,17.9,16.96,32.29,34.28,31.44,11.15,19.3,23.52,14.33,15.76,10.86,5.7,2.67,-2.07,3.74,11.59,-4.84,-2.78,-1.02,1.19,-2.17,3.29,12.53,5.02,5.87,3.71,2.98,2.49,2.31,2.19,1.77,2.07,-0.45,0.78,5.41,10.45
ITA,136,Italy,Inflation,Energy Consumer Price Inflation,7.9,-4.7,1.7,10.6,51.4,9.6,11,19.1,4.6,12.4,26.1,21.5,14.4,24.8,10.6,6.4,-5.5,0.5,4.3,4.6,11.7,11.1,1.6,4.3,4,4.7,3.1,4.08,2.15,1.55,5.83,3.08,0.27,3.32,1.96,4.9,5.7,2.58,6.45,-0.12,1.21,5.18,7.03,2.08,0.02,-0.81,-1.64,1.76,2.56,0.48,-8.21,14.08,48.83
JAM,343,Jamaica,Inflation,Energy Consumer Price Inflation,,6.9,8.7,12.4,36.7,15.1,8.3,8.1,39,45.6,40.4,10.5,8.3,15.6,30.2,28.9,10.9,3.9,7,7.8,25.1,65.2,77.1,12.2,24.2,14.2,46,9.3,6.8,6,7.9,16.43,6.39,15.61,19.03,20.42,13.34,9.04,28.68,2.81,20.67,12.24,5.85,8.29,6.47,-9.1,-1.38,11.1,6.31,1.3,2.14,5.31,8.18
JOR,439,Jordan,Inflation,Energy Consumer Price Inflation,1.6,4.3,1.4,3,0.7,0,6.7,0.4,7.6,38,24.6,11.5,7.8,2.8,0.3,3.7,-2.9,-2,0.1,2.9,4.7,8.5,3.1,5.9,3.2,0,3,3.2,1.1,0.82,1.31,1.87,2.24,2.44,0.97,2.12,6.03,2,14.97,-2.94,4.59,3.86,3.43,6.83,4.75,0.57,1.16,2.8,3.53,1.55,-1.82,1.56,5.53
JPN,158,Japan,Inflation,Energy Consumer Price Inflation,2,8.97,9.42,11.64,14.09,10.38,9.93,9.31,7.94,5.67,6.15,4.45,3.57,3.17,2.22,2.52,2.49,2.85,2.1,2.93,3.11,3.12,3.08,2.66,2.28,1.98,1.45,1.44,0.58,-0.06,0.2,0.2,-0.12,-0.08,-0.22,-0.08,-0.02,-0.14,0.13,-0.18,-0.35,-0.22,-0.34,-0.4,0.02,0.04,-0.13,-0.16,-0.12,1.37,-0.39,3.96,17.31
KAZ,916,Kazakhstan,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,3731.4,3303.3,1472.7,486.8,105.5,89.3,24.4,7,8.9,5.2,4.9,4.9,4.6,7.46,9.83,13.82,15.29,8.4,10.58,7.11,5.73,8.57,4.91,4.08,11.59,0.75,0.57,1.32,2.29,6.5,11.53
KEN,664,Kenya,Inflation,Energy Consumer Price Inflation,,,,5.7,11.3,12.4,12.4,5.3,4.4,20.6,15.9,26.4,39.6,14.8,2.4,3.9,2,10.6,14.7,27.1,6.9,14.7,6.9,45.6,8.3,15.6,11.4,6.7,2.6,2.6,21.1,15.1,-0.2,5.6,17.5,23.7,11.7,11.45,11.45,11.45,11.45,11.45,9.28,4.55,5.59,3.19,1.65,3.12,12.76,4.59,0.52,4.77,5.95
KGZ,917,Kyrgyz Republic,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,1000,82.5,11.9,26.4,22.7,20.6,44.3,33.3,24.5,20.3,2.2,7.11,8.54,7.33,13.14,27.36,19.15,13.25,1.55,6.25,1.9,3.35,16.26,5.05,-1.68,2.26,0.44,3.48,5.36,6.86
KHM,522,Cambodia,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0,0.1,10.1,12,8.3,20,14.61,2.84,3.74,2.27,0.64,2.78,-3.5,-1.24,-0.15,1.33,1.28,1.09,2.95,7.05
KNA,361,St. Kitts and Nevis,Inflation,Energy Consumer Price Inflation,12.1,-0.2,3.9,5.3,61.2,5.8,14.8,11.4,11.4,14.9,29.3,6,4,3.8,3,1.1,-1.4,-3.1,0.4,0.8,10.7,10.7,10.7,0,0,6.9,1.3,0,0,0,0,0.1,0.1,0,0,2.3,2.2,-0.7,1,-0.7,-2.1,2.12,0.24,-0.16,-0.04,-1.09,-0.45,0.1,-1.11,-0.52,-0.24,0.49,
KOR,542,"Korea, Rep.",Inflation,Energy Consumer Price Inflation,8.2,8.2,10,5.6,38,15.1,4.1,17.3,23.2,24.6,32.5,29.4,13.9,0.7,0.6,2.8,2.62,2.44,3.58,4.19,7.71,11.19,7.14,5.36,4.08,4.26,4.76,5.05,7.26,-3.03,3.69,5.97,2.75,4.25,3.24,1.89,2.86,2.24,4.36,1.13,2.38,4.51,4.59,3.53,2.86,-0.64,-0.81,1.7,0.7,-2.6,0.19,1.64,5.31
KWT,443,Kuwait,Inflation,Energy Consumer Price Inflation,2,2,2,2,12.4,0.2,-4.9,4.9,2.8,1.1,2.1,1,5.4,2.2,-0.1,-0.3,0.4,-0.4,4.1,1.9,1.1,1,-0.2,0.2,-1.6,0.6,-2.5,1.2,0.6,4.9,7.1,0.2,0,,,,,-0.1,0.3,0.4,0.1,4.21,2.36,3.84,4.36,5.97,6.78,2.59,-1.14,-0.82,-0.2,0.46,2.26
LAO,544,Lao PDR,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,4.38,10.72,6.64,5.05,6.57,1.42,0.6,1.88,0.88,0.55,3.02,6.6
LBN,446,Lebanon,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,192.8,256.8,119.6,74.9,134.1,38.4,19,3.8,-12.7,11.9,29.2,,,,,,,,,,,,-11.6,8.24,11.57,3.44,0.74,0.74,-5.53,-1.84,5.11,6.84,1.41,7.66,49.6,108.04
LBR,668,Liberia,Inflation,Energy Consumer Price Inflation,-2.6,4.3,-1.2,12.2,30.9,6.2,14.2,10.7,14.1,33.4,33.5,14.9,6.4,1.8,1.5,0.6,0,0.2,0.5,,,,,,,,,,,,,,,,,,1.69,8.39,7.6,-2.15,3.32,5.74,3.99,0.78,1.93,-0.37,-5.39,11.55,19.15,,,,
LCA,362,St. Lucia,Inflation,Energy Consumer Price Inflation,5.2,1.6,3.7,4.1,62.3,7.1,14.4,8.4,10.8,29.2,52.6,7.9,2.6,-0.1,3.6,0.3,-11.9,-1.4,7.6,8.3,5.1,3,4.3,-0.5,-0.9,1.3,4.4,1.8,-2.8,0.6,9.3,-1.3,-1.6,3,3.5,7.7,5.1,1.48,5.98,-4.58,6.31,2.25,1.26,-4.17,5.03,6.57,-3.23,7,9.14,-1.94,-4.7,6.83,15.45
LKA,524,Sri Lanka,Inflation,Energy Consumer Price Inflation,8.9,3.5,3.6,12.7,34.4,7.3,11.9,-2.9,1.8,25.3,71.7,36.2,6.3,33.2,17.9,3.9,1.2,0.8,13,12,12.5,16.4,3.6,17,14.7,6.1,8.1,4.1,3.6,1.5,18.6,14.3,8.8,15.2,9.6,13.5,28.2,25.3,,,,,,,-4.75,4.18,0.12,0.86,1.28,8.01,0.82,1.12,17.45
LSO,666,Lesotho,Inflation,Energy Consumer Price Inflation,,,,,37.6,18,22.2,16.3,12.1,44.6,12.8,30.6,9,9.4,-0.8,43.7,25.8,-2.8,9.1,32.9,-1.7,58.6,4.6,10.9,11.5,3.2,8.7,8.5,6.4,3.4,5.1,12.2,11.2,8.1,5.5,7.6,8.37,8.07,14.73,-0.26,3.34,11.51,8.35,10.58,7.71,-6.87,0.35,6.28,8.81,8,-1.93,6.87,16.55
LTU,946,Lithuania,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,443.88,386.53,125.83,61.99,26.64,17.17,16.02,6.09,12.28,2.22,2.73,0.32,0.65,4.97,6.86,11.5,19.24,11.43,4.73,8.27,6.19,0.57,-0.85,-4.76,-2.03,1.12,4.05,0.13,-3.4,14.33,57.35
LUX,137,Luxembourg,Inflation,Energy Consumer Price Inflation,7.5,4.6,2,2.3,10.4,17,6.9,8.5,1.4,13.9,20,13.9,11.8,22.2,-4.9,4.7,-16.9,-3.1,4.6,6,5.5,-4.6,2.2,1.1,1.1,0.7,3.68,2.88,-0.2,1.44,7.71,1.7,0.18,2.83,3.14,6.86,5.85,3.36,7.89,-2.67,4.7,6.91,3.71,0.6,-1.01,-0.91,-1.57,1.67,3.18,1.61,-0.77,18.82,33.02
LVA,941,Latvia,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,2.6,27.9,26.6,14.88,7.82,2.02,4.47,2.7,1.08,4.67,8.11,5.78,13.8,16.35,29.37,8.23,-2.26,7.61,6.82,-0.05,0.98,3.56,-2.94,2.04,4.13,3.07,-2.41,10.5,48.62
MAR,686,Morocco,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,0.78,0.47,0.43,0.5,1.16,2.48,3.36,0.99,1.16,0.87,0.66,0.55,0.78,1.03
MDA,921,Moldova,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.59,0.06,0.9,-1.26,4.57,-2.31,0.55,0.76,1.08,65.56
MDG,674,Madagascar,Inflation,Energy Consumer Price Inflation,6.1,0.4,1.8,,9.6,6.1,-1.8,3.5,3.6,22.8,24.3,31.5,29.8,2.5,9.6,19.9,0.5,17.1,21.5,12.4,9,8.2,9.5,12.2,35.6,53.3,9,,,,,7.1,14.7,-4.2,14.5,16.2,32.5,3.7,9.2,,,,,,6.62,12.02,10.09,9.88,6.92,9.35,4.61,2.49,2.38
MDV,556,Maldives,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,10.7,24.4,-1.6,11.7,21.6,13.3,-1,-5.3,-5.1,-1.7,-0.9,6.1,2.9,1.7,-1.4,-0.9,-2.1,6.2,9,2.91,2.91,2.91,2.91,2.91,3.59,3.57,3.07,1.03,0.3,-0.94,-0.16,2.21,-4.7,1.11,1.87
MEX,273,Mexico,Inflation,Energy Consumer Price Inflation,,,,,,,,,,12.3,17.2,17.8,47.4,135.3,66.7,49.4,159.1,116.8,112.6,6.2,28.7,24.4,19.2,19.2,17.9,40.1,39.3,25.8,14.4,11.8,25.2,8.9,7.6,15.9,5.38,3.93,4.47,3.02,4.89,2.45,3.2,2.19,2.51,2.8,2.9,1.87,1.72,3.91,3.91,2.43,2.6,13.71,5.49
MKD,962,"Macedonia, FYR",Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,24,36.2,63.3,69.7,68.9,142.6,172.4,1166.7,588.6,125.1,979.4,424.3,111.3,6.8,9.1,3.8,0.4,1.1,27.4,3.9,1,4.35,1.91,0.82,2.77,5.99,6.67,5.12,7,4.99,9.23,1,-0.17,1.06,-0.57,-0.28,0.01,-0.14,2,2.74,11.95
MLI,678,Mali,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,3.71,2.74,4.95,6.82,-0.22,-1.61,-2.37,2.41,2.02,5.25,0.21,-1.89,2.96,2,3.82,3.13,1.65,1.78,-0.61,2.67,4.23,0.67,-0.98,5.34
MLT,181,Malta,Inflation,Energy Consumer Price Inflation,0,0,0.6,0.3,41.6,-11.7,-1.6,39.6,0,22.2,29.5,7,0,-1.6,0,0,0,-5.7,0,0,0,0,0,0.2,0.1,0.1,0.2,8.3,0,8.2,10.9,0.3,3.7,2.2,5.9,15.9,17.1,-5.2,14.5,-2.2,18.6,11.8,4.6,-0.7,-7.6,-6.5,-4.2,1.1,1.3,2.5,-0.6,-1.6,
MMR,518,Myanmar,Inflation,Energy Consumer Price Inflation,1.3,1.1,1.1,6.6,61.4,11.7,48.8,4.1,-1.9,-8.5,7.1,39,1.1,-3.7,18,-1.9,15.2,18,14.1,28.3,22.1,27.1,25.7,12.9,61.3,25.1,7.1,17.2,22.1,16.4,11.3,21.2,34.7,34.3,17.7,9.1,31.4,32.9,14.3,3.7,3.7,8.1,6.5,5.2,4.61,7.91,5.51,5.02,7.82,18.84,17.37,3.51,11.24
MNG,948,Mongolia,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.6,21.6,12.3,8.6,32.5,12.3,0.4,1.7,8.7,8.7,9.1,21.43,9.21,7.97,13.07,12.36,7.51,12.55,10.67,1.95,4.9,13.03,8.7,2.92,2.35,14.52
MOZ,688,Mozambique,Inflation,Energy Consumer Price Inflation,1.1,8.4,5.8,0.9,24.5,3.6,16.9,,,,,,,,,,,,,,,,,,,40.9,32.9,7.7,6.5,18.7,1.3,2.4,5.2,12.5,12.5,12.5,12.5,12.5,15.01,-7.41,10.75,8.97,4.32,4.77,3.35,0.87,4.73,15.63,5.49,2.41,-0.47,5.46,6.79
MRT,682,Mauritania,Inflation,Energy Consumer Price Inflation,-0.8,9.6,9.3,3.4,8.8,,12.1,12,4.7,,,,,-7.4,11.3,,,,,,,,,,,,,,,,,,,,9.93,9.31,7.7,8.45,7.85,-2.89,4.12,4.06,3.37,3.86,1.7,3.96,-0.13,-0.68,0.51,-0.13,0.7,2.32,2.42
MUS,684,Mauritius,Inflation,Energy Consumer Price Inflation,0,-0.1,0,7,17.2,10.2,10.2,13.9,0.1,35.4,66,22.2,12.8,-2.9,10,7.5,-4.9,-1.5,-0.1,0.8,5.3,11.7,11.7,4.1,0.1,3.5,-0.3,-0.3,-0.4,0.2,5.8,15.1,15.1,15.1,0.2,3.46,11.54,4.93,6.8,-3.21,-0.29,2.29,4.82,0.52,0.74,-0.05,-3.1,-2.21,-1.78,-0.39,-2.99,-2.95,4
MWI,676,Malawi,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.27,29.35,19.33,19.34,14.63,3.71,2.41,,
MYS,548,Malaysia,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,0.4,1.7,3.9,1.2,-0.2,-0.4,-1.7,2.2,-3.4,3,2,0.2,1.5,1.3,0,0.5,0.5,1.4,1.54,1.31,1.52,1.41,1.15,1.78,1.58,1.77,3.39,2.45,2.44,2.2,1.99,1.87,-1.73,1.57,1.95
NAM,728,Namibia,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,3.1,20.9,8.6,11.9,7.6,7.6,7.6,7.6,7.6,6.77,6.34,1.86,2.06,2.13,-4.59,14.76,8.71,7.69,5.86,5.16,3.27,2.63,7.69,9.18,3.52,2.07,-0.99,1.26,1.72
NER,692,Niger,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.28,-0.4,2.33,0.4,-0.44,2.07,2.29,1.33,0.92,1.2,0.52,4.97,1.91,-0.47,,,1.15,0.66,2.43,2.37,6.24,15.7,2.92,-0.16,0.63,1.01
NGA,694,Nigeria,Inflation,Energy Consumer Price Inflation,13.7,-3.5,3,-12.4,1.2,80.9,,,,,,,,,,,,15.7,4.3,34.3,27.4,2.1,41.9,98,216.4,72.7,29.75,5.87,43.74,35.72,22.63,-0.66,17.07,33.78,20.72,12.07,16.87,9.94,6.13,8.29,10.08,15.57,17.75,9.6,5.83,7.2,21.91,12.86,7.4,7.35,8.13,10.22,14.16
NIC,278,Nicaragua,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,6.23,8.3,7.74,12.14,8.34,15.43,-2.35,4.54,8.16,4.41,5.53,6.93,-0.62,3.82,9.14,7.12,5.18,4.65,2.21,6.8
NLD,138,Netherlands,Inflation,Energy Consumer Price Inflation,1.6,3.38,4.38,4.54,19.8,16.37,11.44,7.91,8.48,7.58,18.15,23.26,12.5,0.19,4.77,3.76,-9.68,-15.26,-2.47,-0.64,9.13,8.1,-0.48,-4.33,3.68,0.63,-1.02,4.54,3.27,3.09,4.4,4.96,3.38,3.86,3.18,4.62,3.88,2.6,2.11,1.8,-0.04,2.51,2.8,3.02,2.87,1.83,0.6,1.56,2.94,7.57,0.53,17.26,75.64
NOR,142,Norway,Inflation,Energy Consumer Price Inflation,18.5,5.1,5.6,6.5,16.3,13.6,10.3,12.1,20.1,10.6,12.04,13.71,12.06,9.82,7.68,6.21,4.77,7.33,8.33,6.09,6.38,4.49,2.4,2.84,0.9,2.8,2.42,2.69,0.33,2.23,4.74,7.42,3.72,8.59,0.24,1.71,6.12,-0.87,6.83,1.81,5.22,0.93,-1.87,5.29,1.29,1.3,4.48,3.01,5.01,0.13,-3.49,44.52,29.15
NPL,558,Nepal,Inflation,Energy Consumer Price Inflation,1.1,1.1,-3.3,-2.6,20.5,6.7,6.7,6.7,8.9,18.7,15.7,16.3,14.1,15.1,10.4,16.5,6.1,3.1,17.8,15.1,15.6,13.3,18.6,14.2,5.5,0.8,9.3,10,4.1,5.3,25.9,3.9,2.3,15.5,5.9,21.1,17.8,3.2,16.5,-1.8,,,,,,,,,7.59,6.55,2.81,2.4,6.65
NZL,196,New Zealand,Inflation,Energy Consumer Price Inflation,0.4,3,2.4,3.8,6.8,7.7,31.2,36.7,10.8,26,21.5,10.9,14.2,2.9,1.5,18.4,17.3,19.1,7.4,4.9,3,6,4.2,5.8,6.2,4.8,5.4,4.5,3,1.8,1.2,-0.55,3.16,5.24,6.54,5.54,5.06,5.21,4.68,2.53,2.43,3.61,2.77,3.04,3.38,2.78,3.18,3.13,3.06,0.86,2.93,8.55,16.83
OMN,449,Oman,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,3.8,0.4,-0.5,0.6,0.6,0,0.1,0,-0.1,0,0,0,0.1,0.3,,0.4,5.87,12.64,8.9,3.78,3,2.12,0.52,1,0.42,0.73,1.64,0.49,-0.12,-0.55,0.42,1.2
PAK,564,Pakistan,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,2.9,4.9,5.1,1.8,2.3,5.9,14.5,10.2,17.7,5.8,10.1,10.5,11.8,10.4,15.8,13.7,-5,13.8,4.9,4.9,4.9,2.5,5.8,11.5,4.9,16.6,18,10.63,8.35,6.56,5.34,8.36,5.21,4.97,5.04,6.21,8.49,6.16,10.04,12.19
PAN,283,Panama,Inflation,Energy Consumer Price Inflation,-0.9,2.7,1.8,1.5,34.6,6.7,11.8,13.2,28.7,5.8,17.6,5.9,5.5,3.1,-2.4,-2.7,-4.3,-1.9,0,0,0,0,-2.1,0.4,-0.3,1.6,1.3,1.3,-0.5,1.4,7.2,-2.1,-2.2,5.3,5.3,5.3,5.1,4.52,6.25,-7.34,2.58,1.76,3.3,4.11,1.53,-1.17,-0.98,1.92,0.64,-0.29,-4.07,-3.75,1.93
PER,293,Peru,Inflation,Energy Consumer Price Inflation,25.1,0,0,5.1,1.6,9.6,42,27.1,69.2,59.7,28.1,104.4,115.1,231,115.3,170.5,11.3,16.8,456,,,,,,,16.23,12.72,8.28,3.1,11.27,10.54,5.79,-2.19,6.58,4.52,4.12,2.54,0.94,2.39,-0.34,0.28,3.1,2.38,3.02,3.96,4.84,4.89,2.27,4.14,2.16,1.24,,11.3
PHL,566,Philippines,Inflation,Energy Consumer Price Inflation,7.7,7.7,3.3,9.3,38.7,10.2,13.6,5.4,13.9,25.3,33.9,27.5,14.2,8.1,45.4,25.7,-9.7,0,3.7,7.6,20.3,25.3,6.1,6.5,6.5,7.88,8.21,8.74,9.22,7.49,6.91,7.29,3.73,3.82,3.8,7.53,5.96,2.3,4.65,1.67,5.17,5.08,4.12,1.75,2.55,-1.15,0.38,2.74,3.97,2.4,0.91,2.57,6.31
PNG,853,Papua New Guinea,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,10.34,10.6,12,15.39,5.24,7.13,6.73,3.4,1.35,1.26,
POL,964,Poland,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,5.7,0,15.2,27.4,40,127,86.2,1151.6,184.4,94.2,47,44,26.4,18.8,17.7,15.7,6.1,8.8,10.6,5.9,3.4,4.14,4,4.55,3.89,9.04,8.52,3.75,6.08,5.81,1.96,1.56,0.7,-0.61,1.8,2.06,-0.38,7.49,12.14,30.26
PRT,182,Portugal,Inflation,Energy Consumer Price Inflation,1.23,23.43,18.45,21.19,19.56,7.28,25.79,15.18,13.36,9.77,14.01,12.8,13.38,20,27.63,17.32,14.87,9.74,14.87,13.91,17.21,21.91,14.07,9.11,6.77,4.4,2.72,4.33,2.48,0.86,3.74,3.91,2.93,4.17,3,4.37,3.86,3.64,3.95,2.06,4.43,6.66,8.71,2.15,2.22,0.23,0.39,0.6,2.19,-1.77,0.07,7.28,23.85
PRY,288,Paraguay,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,10.87,17.34,11.91,8.36,4.23,8.37,11.53,10.98,9.55,1.45,4.27,5.15,2.87,7.8,1.82,5.33,7.72,9.7,4.94,4.69,3.02,2.49,2.38,3.01,2.94,1.41,2.44,3.95
QAT,453,Qatar,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,0,4.6,2.3,1.01,-1.34,3.05,10.2,2.39,1.17,2.02,8.47,-5.73,0,0.55,3.3,5.32,-3.28,2.35,-2.04,1.56,1.54,18.18,16.03,26.52,25.76,29.17,19.71,-11.98,-12.76,-3.75,-2.65,6.1,7.81,2.87,4.03,-3.04,-3.9,-2.98,-4.57,-5.08,5.25
ROU,968,Romania,Inflation,Energy Consumer Price Inflation,0.1,0,0,0.2,0,10.7,8.9,0.4,0.6,13,36,-0.2,50.5,9.8,0,0,-0.1,3,61.1,-9.3,-33.4,43.3,180.3,502.9,85.6,29.5,37.1,203.1,66.3,82.6,63.4,39.2,37.7,18.8,19.4,17.6,11.9,5.9,9.9,4,7.6,9.3,6.9,4.1,2.3,-2.7,-4.4,0.4,12.2,2.7,-7.4,15.2,32.83
RUS,922,Russian Federation,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,1932.7,393.3,208.8,50.4,36,10.5,47.5,54.2,33.6,35.7,15.4,14.4,18,16.7,11.6,13.7,19.62,13.54,10.92,5.03,9.07,7.74,10.93,7.03,4.76,3.98,4.67,3.02,5.4,6.66
